Цена(в $),Пробег,Марка,Модель,Год
26 400,84 тыс.км,Toyota,RAV4,2019
15 000,161 тыс.км,Audi,A6,2014
25 300,205 тыс.км,BMW,X6,2014
24 900,1 тыс.км,Maxus,Dana V1,2024
14 500,158 тыс.км,Jeep,Renegade,2018
42 990,103 тыс.км,BMW,5 Series,2020
14 000,82 тыс.км,Toyota,Camry,2016
13 400,127 тыс.км,Volkswagen,Golf,2015
86 999,52 тыс.км,Mercedes-Benz,E-Class,2019
23 500,152 тыс.км,BMW,X5,2014
25 300,171 тыс.км,Audi,Q7,2018
23 500,204 тыс.км,Volkswagen,Transporter,2021
21 300,104 тыс.км,Ford,Edge,2020
26 900,220 тыс.км,Tesla,Model S,2019
12 800,135 тыс.км,Mazda,6,2017
27 999,120 тыс.км,Jeep,Grand Cherokee,2018
8 500,254 тыс.км,Audi,A6 Allroad,2008
67 900,104 тыс.км,Lexus,LX,2017
15 500,345 тыс.км,Mercedes-Benz,S-Class,2008
38 000,140 тыс.км,Porsche,Cayenne,2016
16 950,213 тыс.км,Audi,A4,2016
34 900,14 тыс.км,Tesla,Model Y,2023
6 500,254 тыс.км,Jeep,Grand Cherokee,2002
4 600,285 тыс.км,BMW,3 Series,1998
34 400,123 тыс.км,Skoda,Kodiaq,2020
19 500,199 тыс.км,Audi,Q5,2014
17 300,86 тыс.км,Jeep,Compass,2019
7 700,317 тыс.км,Skoda,Octavia,2007
30 000,130 тыс.км,Volvo,XC90,2017
38 500,77 тыс.км,Audi,Q5,2020
4 500,345 тыс.км,Mercedes-Benz,E-Class,2001
22 999,149 тыс.км,Toyota,RAV4,2017
26 900,80 тыс.км,Hyundai,Santa FE,2018
37 999,83 тыс.км,BMW,5 Series,2017
28 100,60 тыс.км,Jeep,Grand Cherokee,2020
38 500,108 тыс.км,Mercedes-Benz,S-Class,2013
23 999,1 тыс.км,BYD,Song Plus,2025
18 500,203 тыс.км,Land,Rover Range Rover,2011
15 950,135 тыс.км,Nissan,Rogue,2017
16 900,81 тыс.км,Audi,A3,2016
28 900,18 тыс.км,Tesla,Model Y,2022
12 999,76 тыс.км,BMW,K 1,1991
18 900,260 тыс.км,Volkswagen,Passat,2020
15 600,134 тыс.км,Volkswagen,Passat,2017
5 850,172 тыс.км,Volkswagen,Passat,2007
5 100,216 тыс.км,SEAT,Leon,2009
11 950,268 тыс.км,Toyota,Land Cruiser Prado,2003
155 000,650 тыс.км,Van,Hool TX15,2013
19 400,178 тыс.км,Kia,Niro,2021
72 000,60 тыс.км,Audi,A6,2023
26 800,72 тыс.км,Volkswagen,Tiguan,2023
19 500,272 тыс.км,Lexus,LX,2009
43 900,130 тыс.км,Mercedes-Benz,E-Class,2017
101 000,107 тыс.км,Porsche,Cayenne Coupe,2020
8 450,325 тыс.км,Toyota,Camry,2008
7 750,243 тыс.км,Infiniti,FX 35,2006
7 950,208 тыс.км,Infiniti,FX 35,2007
5 950,207 тыс.км,Toyota,Camry,2003
73 000,75 тыс.км,Audi,Q7,2020
13 900,257 тыс.км,Renault,Kadjar,2017
13 500,300 тыс.км,Skoda,Octavia,2016
50 500,99 тыс.км,Audi,Q8,2018
75 000,35 тыс.км,Porsche,Cayenne,2022
38 999,129 тыс.км,Skoda,Kodiaq,2021
10 800,263 тыс.км,Kia,Sportage,2013
4 900,20 тыс.км,BMW,G 310R,2021
19 800,98 тыс.км,Kia,Niro,2022
4 514,420 тыс.км,Volkswagen,Touran,2006
10 600,420 тыс.км,Mercedes-Benz,Sprinter,2009
89 000,25 тыс.км,Mercedes-Benz,E-Class,2024
35 888,326 тыс.км,Iveco,Daily,2017
76 000,39 тыс.км,Porsche,Cayenne,2019
13 999,104 тыс.км,Volkswagen,Passat,2016
5 300,249 тыс.км,Renault,Megane,2009
56 100,135 тыс.км,Audi,Q8,2019
14 999,258 тыс.км,Volkswagen,Passat,2015
20 000,175 тыс.км,Tesla,Model Y,2021
17 500,125 тыс.км,Kia,Niro,2019
65 000,45 тыс.км,BMW,X5,2022
8 800,258 тыс.км,Skoda,Octavia,2012
29 500,64 тыс.км,Ford,Edge,2020
15 500,150 тыс.км,Mazda,CX-5,2015
13 900,267 тыс.км,Kia,Sorento,2011
10 500,222 тыс.км,Nissan,X-Trail,2011
18 000,159 тыс.км,BMW,5 Series,2015
12 350,214 тыс.км,Audi,A4,2014
12 550,211 тыс.км,Volkswagen,Passat Alltrack,2014
10 450,245 тыс.км,Skoda,Superb,2010
21 999,196 тыс.км,Volkswagen,Passat,2020
8 599,255 тыс.км,Renault,Kangoo,2012
1 450,1 тыс.км,Langfeite,T9,2024
51 900,160 тыс.км,BMW,X5,2016
19 500,147 тыс.км,Audi,A5 Sportback,2017
19 300,221 тыс.км,Volkswagen,Touran,2020
13 250,259 тыс.км,Volkswagen,Touran,2013
27 500,157 тыс.км,Mercedes-Benz,GL-Class,2013
185 000,35 тыс.км,Mercedes-Benz,G-Class,2020
49 266,1 тыс.км,Yanmar,SV26,2024
91 999,42 тыс.км,BMW,X5,2023
3 800,35 тыс.км,Yamaha,Drag Star,2001
28 999,92 тыс.км,Volkswagen,Golf,2021
202 000,61 тыс.км,Mercedes-Benz,Maybach,2022
151 900,1 тыс.км,BMW,X7,2024
9 200,160 тыс.км,Skoda,Octavia,2014
16 799,218 тыс.км,Volkswagen,Passat,2017
20 499,170 тыс.км,Volkswagen,Passat,2020
14 750,296 тыс.км,Toyota,Avalon,2013
6 999,277 тыс.км,Ford,C-Max,2013
96 000,11 тыс.км,BMW,X7,2022
52 998,4 тыс.км,JCB,535-125,2017
52 000,1 тыс.км,Ducati,Panigale V4,2018
59 900,53 тыс.км,BMW,X4 M,2019
7 000,150 тыс.км,Citroen,C-Elysee,2018
57 508,3 тыс.км,JCB,535-125,2015
56 000,32 тыс.км,Porsche,Macan,2020
40 850,194 тыс.км,Volkswagen,Touareg,2018
9 250,163 тыс.км,Volkswagen,Passat,2015
42 900,40 тыс.км,Audi,e-tron,2021
14 500,230 тыс.км,Volkswagen,Transporter,2017
5 700,221 тыс.км,Citroen,C-Elysee,2016
22 650,201 тыс.км,Kia,Sorento,2015
109 500,1 тыс.км,Audi,SQ8,2025
6 000,258 тыс.км,Toyota,Avalon,2006
77 999,52 тыс.км,Mercedes-Benz,C-Class,2018
6 500,170 тыс.км,Infiniti,EX 35,2008
77 900,34 тыс.км,Volkswagen,Touareg,2023
14 800,345 тыс.км,Mercedes-Benz,LK-Series,1996
6 250,282 тыс.км,Skoda,Octavia,2008
26 896,77 тыс.км,Audi,Q5,2018
13 000,5 тыс.км,Cesab,Drago,2012
26 500,132 тыс.км,Volkswagen,Tiguan,2020
19 169,2 тыс.км,Bobcat,753,2003
93 900,13 тыс.км,BMW,X6,2022
60 999,94 тыс.км,Porsche,Macan,2021
110 000,28 тыс.км,BMW,X7,2022
23 656,164 тыс.км,Audi,e-tron,2019
103 900,1 тыс.км,BMW,X6,2023
105 000,50 тыс.км,BMW,X6,2023
39 999,60 тыс.км,Audi,e-tron,2020
21 500,24 тыс.км,Kia,Soul EV,2019
93 900,1 тыс.км,Audi,Q8,2025
67 400,69 тыс.км,Audi,Q8,2019
74 999,57 тыс.км,Audi,Q8,2021
32 500,66 тыс.км,Audi,Q5,2021
56 500,94 тыс.км,Land,Rover Range Rover,2017
79 800,33 тыс.км,BMW,X5,2022
110 900,1 тыс.км,Mercedes-Benz,GLE-Class,2023
52 000,130 тыс.км,Audi,Q7,2018
7 500,277 тыс.км,Jeep,Compass,2011
9 550,210 тыс.км,Skoda,Superb,2011
29 200,252 тыс.км,BMW,X5,2014
164 737,60 тыс.км,Land,Rover Range Rover,2023
7 750,208 тыс.км,Ford,Focus,2014
20 999,360 тыс.км,Renault,Master,2021
43 500,121 тыс.км,Audi,Q5,2021
106 700,1 тыс.км,Audi,Q7,2025
40 900,102 тыс.км,Audi,Q7,2018
99 500,30 тыс.км,BMW,X5,2024
58 000,37 тыс.км,Porsche,Macan,2021
123 900,1 тыс.км,Mercedes-Benz,GLE-Class,2023
115 000,38 тыс.км,Mercedes-Benz,Maybach,2019
24 500,88 тыс.км,Kia,Sorento,2021
105 000,13 тыс.км,Lexus,GX,2024
124 500,45 тыс.км,BMW,7 Series,2023
12 499,198 тыс.км,Mitsubishi,Outlander,2013
32 500,40 тыс.км,Tesla,Model Y,2023
13 999,203 тыс.км,Audi,Q7,2012
13 999,203 тыс.км,Audi,Q7,2012
135 500,7 тыс.км,Lexus,LX,2023
157 777,12 тыс.км,BMW,XM,2023
25 999,319 тыс.км,Renault,Master,2021
135 000,31 тыс.км,BMW,X7,2024
29 000,32 тыс.км,Subaru,Forester,2022
66 000,88 тыс.км,Mercedes-Benz,GLE-Class,2019
27 777,227 тыс.км,Volkswagen,Touareg,2017
42 999,199 тыс.км,Volkswagen,Touareg,2020
109 900,1 тыс.км,Audi,Q8,2025
17 999,110 тыс.км,Tesla,Model 3,2018
13 490,190 тыс.км,Toyota,RAV4,2010
6 500,160 тыс.км,Ford,Focus,2017
49 000,102 тыс.км,Audi,A6,2018
55 500,49 тыс.км,Audi,A6,2020
31 400,169 тыс.км,Audi,Q5,2020
12 700,195 тыс.км,BMW,5 Series,2012
25 400,117 тыс.км,Toyota,Camry,2018
17 500,59 тыс.км,Kia,Sportage,2019
18 500,169 тыс.км,Hyundai,Tucson,2019
29 500,193 тыс.км,Mercedes-Benz,E-Class,2016
23 490,181 тыс.км,Skoda,Octavia,2021
26 950,164 тыс.км,Audi,Q7,2018
17 850,315 тыс.км,Audi,A6,2016
31 500,145 тыс.км,Skoda,Superb,2019
24 999,248 тыс.км,Volkswagen,Crafter,2021
52 500,192 тыс.км,Audi,SQ7,2017
17 200,165 тыс.км,Lexus,GX,2009
44 500,137 тыс.км,BMW,X5,2018
92 300,40 тыс.км,Porsche,Cayenne,2020
16 700,166 тыс.км,BMW,X5,2013
20 900,148 тыс.км,Volkswagen,Touareg,2014
7 600,190 тыс.км,Skoda,Octavia,2009
26 169,35 тыс.км,Toyota,Yaris Cross,2022
10 499,250 тыс.км,Skoda,Octavia,2012
26 500,18 тыс.км,Tesla,Model 3,2023
51 800,155 тыс.км,Audi,Q7,2019
8 000,89 тыс.км,Ford,Focus,2015
93 000,32 тыс.км,Porsche,Cayenne Coupe,2021
34 900,36 тыс.км,Audi,e-tron,2019
10 140,205 тыс.км,Audi,A6,2010
75 999,55 тыс.км,Mercedes-Benz,GLE-Class,2020
58 500,21 тыс.км,Audi,Q7,2022
11 599,208 тыс.км,Mazda,6,2014
8 100,226 тыс.км,Ford,Focus,2011
13 500,208 тыс.км,Audi,Q5,2013
57 500,142 тыс.км,BMW,X5,2020
5 050,230 тыс.км,Audi,A4,2001
7 999,235 тыс.км,Renault,Megane,2012
52 800,119 тыс.км,Porsche,Cayenne,2018
47 500,65 тыс.км,Audi,Q5,2021
23 400,89 тыс.км,Toyota,Camry,2018
16 500,84 тыс.км,Tesla,Model 3,2020
19 999,132 тыс.км,Tesla,Model X,2017
22 000,206 тыс.км,Volkswagen,Touareg,2014
27 013,75 тыс.км,Toyota,RAV4,2022
21 000,60 тыс.км,Mercedes-Benz,C-Class,2018
93 000,34 тыс.км,Mercedes-Benz,CLS-Class,2022
67 900,128 тыс.км,Audi,Q8,2021
93 000,61 тыс.км,Mercedes-Benz,GLE-Class,2021
61 500,100 тыс.км,Volkswagen,Touareg,2020
1 800,253 тыс.км,ЗАЗ,Lanos,2011
49 900,113 тыс.км,Mercedes-Benz,GLE-Class,2019
96 900,1 тыс.км,Audi,Q8,2025
63 900,44 тыс.км,Volkswagen,Touareg,2021
36 000,23 тыс.км,Audi,A4,2022
58 500,51 тыс.км,Volkswagen,Touareg,2022
68 500,61 тыс.км,Volkswagen,Touareg,2021
5 500,195 тыс.км,BMW,1 Series,2006
28 189,249 тыс.км,Volkswagen,Touareg,2015
28 900,95 тыс.км,Audi,e-tron,2021
42 900,161 тыс.км,Mercedes-Benz,GLS-Class,2017
39 900,11 тыс.км,Tesla,Model Y,2023
59 900,195 тыс.км,BMW,X5,2019
26 800,17 тыс.км,Tesla,Model Y,2023
59 000,5 тыс.км,Tesla,Model X,2024
23 700,62 тыс.км,Toyota,Camry,2020
35 500,220 тыс.км,Audi,A6,2020
15 500,133 тыс.км,Toyota,Camry,2015
59 999,87 тыс.км,Mercedes-Benz,GLE-Class,2019
37 500,195 тыс.км,Mercedes-Benz,S-Class,2014
106 900,1 тыс.км,Audi,Q8,2025
14 950,215 тыс.км,Audi,Q5,2016
50 999,9 тыс.км,Mercedes-Benz,EQE,2024
38 000,70 тыс.км,Hyundai,Tucson,2023
22 500,99 тыс.км,Hyundai,Tucson,2018
47 000,114 тыс.км,Audi,Q8,2019
31 500,6 тыс.км,Tesla,Model Y,2023
48 700,194 тыс.км,Volkswagen,Touareg,2019
41 000,140 тыс.км,Land,Rover Discovery,2019
18 700,303 тыс.км,BMW,5 Series,2015
6 300,272 тыс.км,Citroen,Berlingo,2013
23 300,99 тыс.км,Audi,A6,2015
41 500,150 тыс.км,Mercedes-Benz,GLS-Class,2016
18 999,48 тыс.км,Ford,Mustang,2018
18 450,279 тыс.км,Skoda,Octavia,2019
45 500,1 тыс.км,BMW,2 Series Gran Coupe,2024
44 500,29 тыс.км,Mercedes-Benz,EQE,2023
25 900,199 тыс.км,Jaguar,F-Pace,2016
29 300,55 тыс.км,Tesla,Model Y,2022
29 750,94 тыс.км,Mercedes-Benz,Sprinter,2021
30 000,65 тыс.км,Toyota,Camry,2022
74 000,11 тыс.км,Jeep,Wrangler,2021
23 700,235 тыс.км,BMW,X4,2015
22 900,32 тыс.км,Tesla,Model 3,2022
7 799,189 тыс.км,Volkswagen,Jetta,2014
80 500,67 тыс.км,Lexus,LX,2020
11 299,159 тыс.км,Skoda,Octavia,2016
40 900,2 тыс.км,BMW,3 Series,2022
27 300,85 тыс.км,Audi,A6,2017
86 500,27 тыс.км,Mercedes-Benz,E-Class,2021
13 250,274 тыс.км,Audi,A6,2014
33 500,178 тыс.км,BMW,X5,2015
87 000,12 тыс.км,Audi,Q8,2024
70 000,37 тыс.км,Maserati,Levante,2018
28 000,121 тыс.км,Porsche,Cayenne,2016
89 500,65 тыс.км,Porsche,Panamera,2022
37 990,132 тыс.км,Porsche,Cayenne,2017
25 499,24 тыс.км,Tesla,Model Y,2020
63 131,1 тыс.км,Tesla,Model Y,2025
31 200,196 тыс.км,Audi,Q7,2017
30 500,118 тыс.км,Audi,e-tron,2019
29 900,165 тыс.км,Mercedes-Benz,E-Class,2017
23 000,85 тыс.км,Toyota,Corolla,2020
35 999,3 тыс.км,Tesla,Model Y,2024
21 300,70 тыс.км,Toyota,Camry,2018
24 500,203 тыс.км,Lexus,LX,2009
27 000,38 тыс.км,Tesla,Model Y,2023
54 999,119 тыс.км,BMW,7 Series,2019
53 600,38 тыс.км,Mercedes-Benz,E-Class,2019
12 150,212 тыс.км,Hyundai,Santa FE,2012
10 450,187 тыс.км,Volkswagen,Passat,2013
5 450,224 тыс.км,Volkswagen,Touran,2007
17 350,197 тыс.км,Volkswagen,Passat,2016
21 850,197 тыс.км,Volvo,XC60,2017
22 750,234 тыс.км,Volkswagen,Touareg,2014
11 950,92 тыс.км,Volkswagen,e-Golf,2020
12 850,194 тыс.км,Kia,Sorento,2011
16 750,297 тыс.км,Mercedes-Benz,Vito,2012
12 850,217 тыс.км,Mazda,CX-5,2013
17 650,62 тыс.км,Kia,Niro,2020
17 450,76 тыс.км,Kia,Niro,2020
22 999,22 тыс.км,Nissan,Ariya,2023
39 499,148 тыс.км,Audi,A6,2018
17 900,100 тыс.км,BMW,X3,2017
30 999,125 тыс.км,Audi,SQ5,2018
77 900,4 тыс.км,Mercedes-Benz,GLE-Class,2022
56 500,18 тыс.км,Land,Rover Range Rover Evoque,2023
10 500,252 тыс.км,Volkswagen,Jetta,2016
22 500,90 тыс.км,Tesla,Model 3,2022
82 900,73 тыс.км,Mercedes-Benz,GLS-Class,2021
18 200,144 тыс.км,Ford,Mustang,2016
39 950,1 тыс.км,Toyota,RAV4,2025
18 950,63 тыс.км,Kia,Niro,2021
99 900,58 тыс.км,Cadillac,Escalade,2022
31 500,120 тыс.км,Toyota,Camry,2021
8 950,239 тыс.км,Ford,Focus,2014
55 500,12 тыс.км,Lexus,RX,2022
11 999,139 тыс.км,Nissan,Rogue,2016
18 900,178 тыс.км,Skoda,Octavia,2020
8 500,450 тыс.км,Mercedes-Benz,Sprinter,2009
20 400,119 тыс.км,Jaguar,F-Pace,2016
72 000,10 тыс.км,Mercedes-Benz,GLE-Class,2023
22 000,159 тыс.км,BMW,5 Series,2014
4 980,150 тыс.км,Volkswagen,Passat,2002
43 500,350 тыс.км,Porsche,Cayenne,2015
37 400,149 тыс.км,Toyota,Land Cruiser Prado,2020
42 999,187 тыс.км,Mercedes-Benz,E-Class,2019
63 999,121 тыс.км,Volkswagen,Touareg,2022
78 500,20 тыс.км,Mercedes-Benz,C-Class,2019
19 400,88 тыс.км,Audi,Q4 e-tron,2023
54 500,81 тыс.км,Toyota,Land Cruiser Prado,2022
16 950,74 тыс.км,Hyundai,Kona Electric,2020
24 550,148 тыс.км,Jaguar,F-Pace,2017
62 300,30 тыс.км,Volkswagen,Touareg,2022
35 900,173 тыс.км,BMW,3 Series,2019
52 500,22 тыс.км,Land,Rover Range Rover Velar,2021
65 500,108 тыс.км,BMW,X5,2019
7 000,205 тыс.км,Toyota,Corolla,2008
23 800,35 тыс.км,Nissan,X-Trail,2021
9 999,250 тыс.км,Skoda,Octavia,2010
70 000,6 тыс.км,BMW,3 Series,2024
58 000,46 тыс.км,BMW,X5,2021
56 700,67 тыс.км,Mercedes-Benz,GLE-Class Coupe,2018
21 500,85 тыс.км,Tesla,Model 3,2021
58 900,13 тыс.км,Zeekr,001,2023
57 000,129 тыс.км,BMW,X5,2021
85 000,59 тыс.км,Porsche,Taycan,2020
41 900,15 тыс.км,Audi,A6,2023
49 900,52 тыс.км,Toyota,Land Cruiser Prado,2022
58 500,105 тыс.км,Mercedes-Benz,GLE-Class,2019
20 500,66 тыс.км,Kia,Niro,2020
55 000,160 тыс.км,BMW,X5,2019
24 250,193 тыс.км,Mercedes-Benz,Sprinter,2020
51 000,86 тыс.км,Volvo,XC90,2022
60 860,54 тыс.км,BMW,iX,2022
74 500,91 тыс.км,BMW,X5,2022
13 990,181 тыс.км,Volkswagen,Passat,2015
69 500,68 тыс.км,Mercedes-Benz,GLE-Class,2021
28 999,200 тыс.км,Mercedes-Benz,GL-Class,2014
53 908,67 тыс.км,Mercedes-Benz,S-Class,2015
29 500,279 тыс.км,BMW,X3,2018
59 000,84 тыс.км,BMW,7 Series,2019
18 099,105 тыс.км,Jeep,Cherokee,2018
22 000,94 тыс.км,Tesla,Model 3,2019
30 276,130 тыс.км,Audi,Q7,2016
43 300,35 тыс.км,Audi,A5,2020
33 000,91 тыс.км,Audi,e-tron,2020
36 000,39 тыс.км,Jaguar,I-Pace,2020
5 500,325 тыс.км,Citroen,C5,2010
18 999,160 тыс.км,Renault,Trafic,2021
35 500,33 тыс.км,Audi,S5,2022
77 999,25 тыс.км,Volkswagen,Touareg,2023
45 000,90 тыс.км,Audi,Q7,2019
61 700,57 тыс.км,BMW,X5,2021
65 000,75 тыс.км,Porsche,Macan,2021
15 950,53 тыс.км,Jeep,Cherokee,2019
46 786,85 тыс.км,BMW,X3,2022
8 850,187 тыс.км,Ford,Focus,2014
44 500,21 тыс.км,Audi,SQ5,2018
14 800,178 тыс.км,Ford,Edge,2017
34 000,46 тыс.км,Volkswagen,Transporter,2021
10 999,231 тыс.км,Toyota,RAV4,2011
38 500,42 тыс.км,Skoda,Kodiaq,2022
46 800,83 тыс.км,Renault,Trafic,2022
38 999,169 тыс.км,Mercedes-Benz,GLS-Class,2017
49 900,145 тыс.км,Audi,Q7,2018
65 000,62 тыс.км,Porsche,Cayenne,2020
77 500,62 тыс.км,Land,Rover Range Rover,2019
45 827,113 тыс.км,Toyota,Land Cruiser Prado,2021
13 000,104 тыс.км,Volkswagen,Passat,2016
13 899,198 тыс.км,Opel,Astra,2021
17 850,49 тыс.км,Hyundai,Kona Electric,2021
123 500,28 тыс.км,BMW,X5 M,2022
27 300,34 тыс.км,Nissan,Rogue,2023
40 900,41 тыс.км,Toyota,RAV4,2023
60 999,107 тыс.км,Volkswagen,Touareg,2021
64 111,180 тыс.км,Mercedes-Benz,S-Class,2019
24 500,160 тыс.км,Audi,A6,2016
58 999,109 тыс.км,Porsche,Cayenne,2018
36 550,39 тыс.км,Jaguar,I-Pace,2021
40 000,15 тыс.км,BMW,2 Series,2022
65 999,112 тыс.км,Volkswagen,Touareg,2022
18 450,42 тыс.км,Ford,Escape,2023
49 000,150 тыс.км,Volkswagen,Touareg,2018
42 500,90 тыс.км,Toyota,Land Cruiser Prado,2019
16 700,230 тыс.км,Renault,Master,2018
60 500,85 тыс.км,BMW,X5,2019
63 999,111 тыс.км,Volkswagen,Touareg,2022
58 999,119 тыс.км,Volkswagen,Touareg,2021
24 800,11 тыс.км,Mazda,CX-5,2023
47 000,188 тыс.км,BMW,5 Series,2020
17 400,167 тыс.км,Skoda,Octavia,2019
13 600,206 тыс.км,Audi,A4,2015
64 999,79 тыс.км,Volkswagen,Touareg,2022
24 500,83 тыс.км,Audi,Q5,2019
42 500,72 тыс.км,Land,Rover Range Rover Evoque,2020
51 200,108 тыс.км,Audi,A6,2018
52 500,6 тыс.км,Toyota,Camry,2024
21 500,103 тыс.км,Tesla,Model 3,2021
27 000,232 тыс.км,Mercedes-Benz,GL-Class,2012
11 999,286 тыс.км,Audi,A4,2009
54 999,99 тыс.км,Audi,Q7,2017
47 700,65 тыс.км,Porsche,Cayenne,2018
37 750,170 тыс.км,Porsche,Cayenne,2016
61 300,1 тыс.км,BMW,3 Series,2025
56 999,184 тыс.км,Mercedes-Benz,V-Class,2020
68 900,107 тыс.км,BMW,X5 M,2020
48 800,67 тыс.км,Volvo,XC60,2023
42 000,57 тыс.км,Kia,Mohave,2020
68 400,62 тыс.км,Porsche,Macan,2021
69 999,89 тыс.км,BMW,X5,2022
41 500,20 тыс.км,Audi,e-tron,2022
42 500,135 тыс.км,Mercedes-Benz,S-Class,2014
19 900,188 тыс.км,Mercedes-Benz,Sprinter,2016
19 900,185 тыс.км,Volkswagen,Crafter,2017
45 900,59 тыс.км,Ford,F-150,2020
49 000,31 тыс.км,Audi,SQ5,2020
49 999,185 тыс.км,Audi,A7 Sportback,2018
18 500,76 тыс.км,Hyundai,Tucson,2020
49 400,63 тыс.км,Toyota,Land Cruiser Prado,2022
39 800,67 тыс.км,Audi,Q5,2021
42 999,36 тыс.км,Skoda,Kodiaq,2023
6 666,210 тыс.км,Volkswagen,Passat,2010
42 000,89 тыс.км,BMW,X3,2018
47 000,67 тыс.км,Audi,RS5,2019
40 000,36 тыс.км,Mercedes-Benz,E-Class,2019
66 000,82 тыс.км,Porsche,Cayenne,2019
51 900,88 тыс.км,BMW,iX,2022
66 000,14 тыс.км,Porsche,Taycan,2021
10 900,254 тыс.км,Lincoln,MKX,2013
26 200,47 тыс.км,Mazda,CX-5,2022
41 300,8 тыс.км,Toyota,Camry,2024
89 500,107 тыс.км,Porsche,Cayenne,2021
63 000,30 тыс.км,BMW,X5,2021
49 500,71 тыс.км,BMW,5 Series,2018
